POSITION;FUNCTION;PORT
CLK tile[0, 0] clk_side=E Input0;LOGIC_AS_CLK0;
CLK tile[0, 0] clk_side=E Input1;LOGIC_AS_CLK1;
CLK tile[0, 0] clk_side=W Input0;OSC_CLK;
CLK tile[0, 0] clk_side=W Input1;PLL_CLK;
CLK tile[0, 0] clk_side=N Output0;REF_BRAM(0..3)_READ_CLK;
CLK tile[0, 0] clk_side=N Output1;REF_BRAM(0..3)_WRITE_CLK;
CLK tile[0, 0] clk_side=S Output0;REF_BRAM(4..7)_READ_CLK;
CLK tile[0, 0] clk_side=S Output1;REF_BRAM(4..7)_WRITE_CLK;
IOB tile[0, 0] coord[0, 0] Output0;BRAM4_WDATA[5];
IOB tile[0, 0] coord[0, 0] Output1;BRAM4_WDATA[4];
IOB tile[0, 0] coord[0, 0] Input0;BRAM4_RDATA[5];
IOB tile[0, 0] coord[0, 0] Input1;BRAM4_RDATA[4];
IOB tile[0, 0] coord[0, 1] Output0;BRAM4_WDATA[7];
IOB tile[0, 0] coord[0, 1] Output1;BRAM4_WDATA[6];
IOB tile[0, 0] coord[0, 1] Input0;BRAM4_RDATA[7];
IOB tile[0, 0] coord[0, 1] Input1;BRAM4_RDATA[6];
IOB tile[0, 0] coord[0, 2] Output0;BRAM4_WCLKINV;
IOB tile[0, 0] coord[0, 2] Output1;BRAM4_RCLKINV;
IOB tile[0, 0] coord[0, 3] Output0;BRAM4_RATIO[0];
IOB tile[0, 0] coord[0, 3] Output1;BRAM4_RATIO[1];
IOB tile[0, 0] coord[0, 4] Output0;BRAM4_nREN;
IOB tile[0, 0] coord[0, 4] Output1;BRAM4_nRCLKEN;
IOB tile[0, 0] coord[0, 5] Output0;BRAM4_nWEN;
IOB tile[0, 0] coord[0, 5] Output1;BRAM4_nWCLKEN;
IOB tile[0, 0] coord[0, 6] Output0;GPIO0_OUT [PIN 13];out0
IOB tile[0, 0] coord[0, 6] Output1;GPIO0_OE [PIN 13];out0_oe
IOB tile[0, 0] coord[0, 6] Input0;GPIO0_IN [PIN 13];
IOB tile[0, 0] coord[0, 7] Output0;GPIO1_OUT [PIN 14];out1
IOB tile[0, 0] coord[0, 7] Output1;GPIO1_OE [PIN 14];out1_oe
IOB tile[0, 0] coord[0, 7] Input0;GPIO1_IN [PIN 14];
IOB tile[0, 0] coord[0, 8] Output0;GPIO2_OUT [PIN 15];
IOB tile[0, 0] coord[0, 8] Output1;GPIO2_OE [PIN 15];
IOB tile[0, 0] coord[0, 8] Input0;GPIO2_IN [PIN 15];
IOB tile[0, 0] coord[0, 9] Output0;GPIO3_OUT [PIN 16];
IOB tile[0, 0] coord[0, 9] Output1;GPIO3_OE [PIN 16];
IOB tile[0, 0] coord[0, 9] Input0;GPIO3_IN [PIN 16];
IOB tile[0, 0] coord[0, 10] Output0;GPIO4_OUT [PIN 17];
IOB tile[0, 0] coord[0, 10] Output1;GPIO4_OE [PIN 17];
IOB tile[0, 0] coord[0, 10] Input0;GPIO4_IN [PIN 17];
IOB tile[0, 0] coord[0, 11] Output0;PLL_REF_CLK_SEL;
IOB tile[0, 0] coord[0, 11] Output1;PLL_BYPASS;
IOB tile[0, 0] coord[0, 12] Output0;PLL_FBDIV[0];
IOB tile[0, 0] coord[0, 12] Output1;PLL_FBDIV[1];
IOB tile[0, 0] coord[0, 12] Input1;PLL_LOCK;
IOB tile[0, 0] coord[0, 13] Output0;PLL_FBDIV[2];
IOB tile[0, 0] coord[0, 13] Output1;PLL_FBDIV[3];
IOB tile[0, 0] coord[0, 14] Output0;PLL_FBDIV[4];
IOB tile[0, 0] coord[0, 14] Output1;PLL_FBDIV[5];
IOB tile[0, 0] coord[0, 15] Output0;PLL_FBDIV[6];
IOB tile[0, 0] coord[0, 15] Output1;PLL_FBDIV[7];
IOB tile[0, 0] coord[0, 16] Output0;PLL_FBDIV[8];
IOB tile[0, 0] coord[0, 16] Output1;PLL_FBDIV[9];
IOB tile[0, 0] coord[0, 17] Output0;PLL_FBDIV[10];
